id,focus,signal,slack,drag,confidence,score,lane
l001,search depth,35,33,6,25,209,ship
l002,boundary pressure,35,34,6,55,271,ship
l003,complexity,35,35,6,85,333,ship
l004,input width,35,36,18,25,191,watch
l005,search depth,35,37,18,55,253,ship
l006,boundary pressure,35,38,18,85,315,ship
l007,complexity,35,39,34,25,165,watch
l008,input width,35,40,34,55,227,ship
l009,search depth,35,41,34,85,289,ship
l010,boundary pressure,60,42,6,25,302,ship
l011,complexity,60,43,6,55,364,ship
l012,input width,60,44,6,85,426,ship
l013,search depth,60,45,18,25,284,ship
l014,boundary pressure,60,46,18,55,346,ship
l015,complexity,60,47,18,85,408,ship
l016,input width,60,48,34,25,258,ship
l017,search depth,60,32,34,55,286,ship
l018,boundary pressure,60,33,34,85,348,ship
l019,complexity,85,34,6,25,361,ship
l020,input width,85,35,6,55,423,ship
l021,search depth,85,36,6,85,485,ship
l022,boundary pressure,85,37,18,25,343,ship
l023,complexity,85,38,18,55,405,ship
l024,input width,85,39,18,85,467,ship
l025,search depth,85,40,34,25,317,ship
l026,boundary pressure,85,41,34,55,379,ship
l027,complexity,85,42,34,85,441,ship
